SAL_NAME21,tree_percentage,distance,n
Huntingdale,13.1,16.469948265090668,955
Ivanhoe,29.8,8.761329343473856,5591
Ivanhoe East,37.6,9.812793644851359,1485
Jacana,9,14.75964479310932,943
Kalkallo,6.3,31.99596945864083,455
Kealba,6.9,14.549230104539513,1102
Keilor,15.2,16.712866822881235,2914
Keilor Downs,9.6,17.392693020354308,4121
Keilor East,17.1,12.46103445016067,6891
Keilor Lodge,11.5,19.293290649017553,680
Keilor North,7.9,21.00467666552697,52
Keilor Park,12.5,14.392161961964394,1563
Kensington,20.4,3.868159173312059,3968
Kew,36.8,6.283159550551694,8458
Kew East,34.2,8.282139672528222,2791
Keysborough,19.5,27.80091297849917,11455
Kilsyth,38.2,31.28647106546592,915
Kilsyth South,38.7,30.687463298427158,1342
Kings Park,5.6,19.061689899017214,3055
Kingsbury,18.6,12.545517211925864,1643
Kingsville,28.6,7.392072444850976,1420
Knoxfield,20.2,26.579677863583214,4116
Kooyong,31.2,7.077633764526743,285
Laverton,7.4,17.96985022090245,2349
Laverton North,2.6,15.58800914898184,1140
Little River,1.8,45.57663909263896,489
Lower Plenty,39.9,15.871296263961115,1798
Lysterfield,40.5,32.6044010339871,2521
Lysterfield South,58,30.825253831328624,324
Macleod,35.1,14.010013675449711,4398
Maidstone,17.8,8.614446847839087,3551
Malvern,27,7.898837868443618,3530
Malvern East,26.4,11.363537527379426,8089
Manor Lakes,4.9,34.11144106601928,3342
Maribyrnong,17.1,8.078220974785019,3988
McKinnon,24.2,12.593403207429924,2284
Meadow Heights,12.1,18.51548893640165,5283
Melbourne,19.5,1.4018859904700893,2282
Melbourne Airport,8,19.091663954672516,187
Mentone,30.2,20.799993879307184,6119
Mickleham,6.7,30.947001530678385,2478
Middle Park,17.8,4.104597092088487,1549
Mitcham,33.2,20.77586424899768,7899
Mont Albert,34,12.744412659845597,2213
Mont Albert North,32.2,13.055595901940173,2376
Montmorency,41,17.767623392800242,4426
Moonee Ponds,15.1,6.521572260805359,5633
Moorabbin,10.8,16.398840558956074,3878
Moorabbin Airport,3.5,21.743934611280604,169
Mordialloc,29.3,23.64706017000559,4318
Mount Cottrell,3.8,29.947021345682845,223
Mount Waverley,27.4,16.206924259620017,15947
Mulgrave,16.9,22.43889001990161,8634
Murrumbeena,26.4,13.137333684384815,3433
Narre Warren,21.2,37.71822731375744,11862
Narre Warren North,21.5,36.032543542253215,3047
Narre Warren South,9.8,40.110260117935034,436
Newport,26.8,8.018268753676953,5656
Niddrie,23.5,10.767531502049417,2625
Noble Park,23.8,25.500197053065374,13237
Noble Park North,14.6,25.153029803976786,3173
North Melbourne,19.1,2.3703492289514836,3115
Northcote,23.2,5.676600767260883,9578
Notting Hill,15.9,18.659720672752027,1054
Nunawading,25.1,18.79544129109204,5711
Oak Park,14.1,11.469160355422218,2884
Oaklands Junction,6.2,26.979846989479412,238
Oakleigh,19,15.109416767205783,3605
Oakleigh East,17.5,16.69073334118986,2940
Oakleigh South,17.2,16.817796409669544,4423
Ormond,24.6,12.122138525961686,2917
Park Orchards,63.2,22.54644011935025,1433
Parkdale,35.6,22.29233965222513,5243
Parkville,31.8,3.215713157318444,986
Pascoe Vale,17.1,10.133739136921228,8123
Pascoe Vale South,18.3,8.160591654819422,4204
Patterson Lakes,18.8,32.44740602759691,3514
Point Cook,6.2,21.18732973940117,22426
Port Melbourne,10.1,4.182333222024122,5737
